DAM,Channel,Trt
24,26,SmellessMinus
24,27,SmellessMinus
24,28,SmellessMinus
24,29,SmellessMinus
24,30,SmellessMinus
24,31,SmellessMinus
24,32,SmellessMinus
34,1,SmellessMinus
34,2,SmellessMinus
34,3,SmellessMinus
34,4,SmellessMinus
34,5,SmellessMinus
34,6,SmellessMinus
34,7,SmellessMinus
34,8,SmellessMinus
34,9,SmellessMinus
34,10,SmellessMinus
34,11,SmellessMinus
34,12,SmellessMinus
34,13,SmellessMinus
34,14,SmellessMinus
34,15,SmellessMinus
34,16,SmellessMinus
34,17,SmellessMinus
34,18,SmellessMinus
34,19,SmellessMinus
34,20,SmellessMinus
34,21,SmellessMinus
34,22,SmellessMinus
34,23,SmellessMinus
34,24,SmellessMinus
34,25,SmellessMinus
34,26,SmellessMinus
34,27,SmellessMinus
34,28,SmellessMinus
34,29,SmellessMinus
34,30,SmellessMinus
34,31,SmellessMinus
34,32,SmellessMinus
1,1,CSPLUS
1,2,CSPLUS
1,3,CSPLUS
1,4,CSPLUS
1,5,CSPLUS
1,6,CSPLUS
1,7,CSPLUS
1,8,CSPLUS
1,9,CSPLUS
1,10,CSPLUS
1,11,CSPLUS
1,12,CSPLUS
1,13,CSPLUS
1,14,CSPLUS
1,15,CSPLUS
1,16,CSPLUS
1,17,CSPLUS
1,18,CSPLUS
1,19,CSPLUS
1,20,CSPLUS
1,21,CSPLUS
1,22,CSPLUS
1,23,CSPLUS
1,24,CSPLUS
1,25,CSPLUS
1,26,CSPLUS
1,27,CSPLUS
1,28,CSPLUS
1,29,CSPLUS
1,30,CSPLUS
1,31,CSPLUS
1,32,CSPLUS
13,1,CSPLUS
13,2,CSPLUS
13,3,CSPLUS
13,4,CSPLUS
13,5,CSPLUS
13,6,CSPLUS
13,7,CSPLUS
13,8,CSPLUS
13,9,CSPLUS
13,10,CSPLUS
13,11,CSPLUS
13,12,CSPLUS
13,13,CSPLUS
13,14,CSPLUS
13,15,CSPLUS
13,16,CSPLUS
13,17,CSPLUS
13,18,CSPLUS
13,19,CSPLUS
13,20,CSPLUS
13,21,CSPLUS
13,22,CSPLUS
13,23,CSPLUS
13,24,CSPLUS
13,25,CSPLUS
13,26,CSPLUS
13,27,CSPLUS
13,28,CSPLUS
13,29,CSPLUS
13,30,CSPLUS
13,31,CSPLUS
13,32,CSPLUS
2,1,CSMINUS
2,2,CSMINUS
2,3,CSMINUS
2,4,CSMINUS
2,5,CSMINUS
2,6,CSMINUS
2,7,CSMINUS
2,8,CSMINUS
2,9,CSMINUS
2,10,CSMINUS
2,11,CSMINUS
2,12,CSMINUS
2,13,CSMINUS
2,14,CSMINUS
2,15,CSMINUS
2,16,CSMINUS
2,17,CSMINUS
2,18,CSMINUS
2,19,CSMINUS
2,20,CSMINUS
2,21,CSMINUS
2,22,CSMINUS
2,23,CSMINUS
2,24,CSMINUS
2,25,CSMINUS
2,26,CSMINUS
2,27,CSMINUS
2,28,CSMINUS
2,29,CSMINUS
2,30,CSMINUS
2,31,CSMINUS
2,32,CSMINUS
14,1,CSMINUS
14,2,CSMINUS
14,3,CSMINUS
14,4,CSMINUS
14,5,CSMINUS
14,6,CSMINUS
14,7,CSMINUS
14,8,CSMINUS
14,9,CSMINUS
14,10,CSMINUS
14,11,CSMINUS
14,12,CSMINUS
14,13,CSMINUS
14,14,CSMINUS
14,15,CSMINUS
14,16,CSMINUS
14,17,CSMINUS
14,18,CSMINUS
14,19,CSMINUS
14,20,CSMINUS
14,21,CSMINUS
14,22,CSMINUS
14,23,CSMINUS
14,24,CSMINUS
14,25,CSMINUS
14,26,CSMINUS
14,27,CSMINUS
14,28,CSMINUS
14,29,CSMINUS
14,30,CSMINUS
14,31,CSMINUS
14,32,CSMINUS
32,1,TPHPlus
32,2,TPHPlus
32,3,TPHPlus
32,4,TPHPlus
32,5,TPHPlus
32,6,TPHPlus
32,7,TPHPlus
32,8,TPHPlus
32,9,TPHPlus
32,10,TPHPlus
32,11,TPHPlus
32,12,TPHPlus
32,13,TPHPlus
32,14,TPHPlus
32,15,TPHPlus
32,16,TPHPlus
32,17,TPHPlus
32,18,TPHPlus
32,19,TPHPlus
32,20,TPHPlus
32,21,TPHPlus
32,22,TPHPlus
32,23,TPHPlus
32,24,TPHPlus
32,25,TPHPlus
32,26,TPHPlus
32,27,TPHPlus
32,28,TPHPlus
32,29,TPHPlus
32,30,TPHPlus
32,31,TPHPlus
32,32,TPHPlus
33,1,TPHPlus
33,2,TPHPlus
33,3,TPHPlus
33,4,TPHPlus
33,5,TPHPlus
33,6,TPHPlus
33,7,TPHPlus
33,8,TPHPlus
33,9,TPHPlus
33,10,TPHPlus
33,11,TPHPlus
33,12,TPHPlus
33,13,TPHPlus
33,14,TPHPlus
33,15,TPHPlus
33,16,TPHPlus
33,17,TPHPlus
33,18,TPHPlus
33,19,TPHPlus
33,20,TPHPlus
33,21,TPHPlus
33,22,TPHPlus
33,23,TPHPlus
33,24,TPHPlus
33,25,TPHPlus
33,26,TPHPlus
33,27,TPHPlus
33,28,TPHPlus
33,29,TPHPlus
33,30,TPHPlus
33,31,TPHPlus
33,32,TPHPlus
27,1,TPHMinus
27,2,TPHMinus
27,3,TPHMinus
27,4,TPHMinus
27,5,TPHMinus
27,6,TPHMinus
27,7,TPHMinus
27,8,TPHMinus
27,9,TPHMinus
27,10,TPHMinus
27,11,TPHMinus
27,12,TPHMinus
27,13,TPHMinus
27,14,TPHMinus
27,15,TPHMinus
27,16,TPHMinus
27,17,TPHMinus
27,18,TPHMinus
27,19,TPHMinus
27,20,TPHMinus
27,21,TPHMinus
27,22,TPHMinus
27,23,TPHMinus
27,24,TPHMinus
27,25,TPHMinus
27,26,TPHMinus
27,27,TPHMinus
27,28,TPHMinus
27,29,TPHMinus
27,30,TPHMinus
27,31,TPHMinus
27,32,TPHMinus
31,1,TPHMinus
31,2,TPHMinus
31,3,TPHMinus
31,4,TPHMinus
31,5,TPHMinus
31,6,TPHMinus
31,7,TPHMinus
31,8,TPHMinus
31,9,TPHMinus
31,10,TPHMinus
31,11,TPHMinus
31,12,TPHMinus
31,13,TPHMinus
31,14,TPHMinus
31,15,TPHMinus
31,16,TPHMinus
31,17,TPHMinus
31,18,TPHMinus
31,19,TPHMinus
31,20,TPHMinus
31,21,TPHMinus
31,22,TPHMinus
31,23,TPHMinus
31,24,TPHMinus
31,25,TPHMinus
31,26,TPHMinus
31,27,TPHMinus
31,28,TPHMinus
31,29,TPHMinus
31,30,TPHMinus
31,31,TPHMinus
31,32,TPHMinus
